station_id,opis_id,name,address,city,state,rack_id,retail_price,latitude,longitude,location_accuracy,geocode_confidence
69817,69817,LOVES TRAVEL STOP #639,"I-20, EXIT 96",Lake,MS,705,3.16233333,32.345909,-89.341354,city,
69818,69818,LOVES TRAVEL STOP #675,US-75,Okmulgee,OK,560,3.21733333,35.628805,-95.96967,city,
69819,69819,FLYING J TRAVEL PLAZA #1086,SR-18 & SR-5,Marion,IN,457,3.569,40.55837,-85.65914,city,
69820,69820,CUBBYS #304,SR-7,Manson,IA,319,3.299,42.528503,-94.530386,city,
69821,69821,FUEL CITY HALTOM CITY,"I-35W, EXIT 52B & TX-121",Haltom City,TX,630,2.96566666,32.79957,-97.26918,city,
69823,69823,LOVES TRAVEL STOP #664,US-41,Terre Haute,IN,375,3.949,39.4667,-87.41391,city,
69824,69824,LOVES TRAVEL STOP #663,US-190 & LA-103,Port Barre,LA,730,3.124,30.547788,-91.928576,city,
69825,69825,KWIK TRIP #154,MN-15,Sauk Rapids,MN,451,3.30233333,45.604032,-94.159088,city,
69826,69826,LOVES TRAVEL STOP #629,I-65 EXIT 108 & SR-76,White House,TN,460,3.159,36.460048,-86.670524,city,
69827,69827,KWIK TRIP #164,US-12/SR-29,Menomonie,WI,295,3.499,44.87552,-91.91934,city,
69830,69830,RUTTERS #69,"I-78/US-22, EXIT 29 & SR-61",Hamburg,PA,208,3.86566666,40.548799,-75.987361,city,
69832,69832,LOVES TRAVEL STOP #595,"I-10, EXIT 28 & SR-49",Gulfport,MS,733,3.144,30.36742,-89.09282,city,
69833,69833,LOVES TRAVEL STOP #658,US-412,Watts,OK,416,3.34733333,36.115216,-94.634472,city,
69835,69835,LOVES TRAVEL STOP #653,US-287,Eads,CO,800,3.47566666,38.444141,-102.50536,city,
69837,69837,LOVES TRAVEL STOP #606,"I-94, EXIT 73B & US-6",South Holland,IL,290,3.469,41.60087,-87.60699,city,
69840,69840,KUM & GO #0370,"I-80, EXIT 439 & SR-370",Gretna,NE,486,2.92066666,41.134458,-96.245837,city,
69842,69842,KUM & GO #0863,"I-44, EXIT 215 & SR-97",Sapulpa,OK,560,3.23233333,35.9987,-96.11417,city,
69845,69845,Maverik Country Store #5013,US-40 & SR-13,Craig,CO,800,3.459,40.522351,-107.561458,city,
69847,69847,KWIK STAR #145,US-52,Guttenberg,IA,335,3.599,42.759443,-91.119015,city,
69848,69848,KWIK TRIP #173,SR-17,Rhinelander,WI,395,3.45233333,45.646718,-89.409285,city,
69850,69850,KUM & GO #0539,"I-80 E, & SR-415 EXIT 135",Des Moines,IA,320,3.07233333,41.60054,-93.60911,city,
69851,69851,SPEEDWAY #3995,I-90,Belvidere,IL,293,3.849,42.26391,-88.84427,city,
69852,69852,KWIK TRIP #141,SR-61,Two Harbors,MN,334,3.499,47.039364,-91.678264,city,
69854,69854,LOVES TRAVEL STOP #637,"I-39, EXIT 115 & CR-CS",Poynette,WI,420,3.789,43.401342,-89.418857,city,
69855,69855,LOVES TRAVEL STOP #670,US-18,Floyd,IA,433,3.649,43.143049,-92.723988,city,
69856,69856,LOVES TRAVEL STOP #657,"I-77, EXIT 5 & SR-48",Cayce,SC,46,3.39733333,33.962567,-81.067084,city,
69858,69858,TEX-BEST #528,US-181,Elmendorf,TX,740,2.89233333,29.230793,-98.371982,city,
69859,69859,BIG BOSS TRAVEL PLAZA,I-12 EXIT 22,Livingston,LA,600,3.16566666,30.474107,-90.767339,city,
69861,69861,HUCKS FOOD & FUEL #379,"I-57, EXIT 53",Marion,IL,340,2.999,37.73061,-88.93313,city,
69862,69862,CASEYS #3503,US-69/SR-52,Pleasanton,KS,400,3.199,38.182285,-94.70567,city,
69863,69863,GOLDEN GATE,I-80 EXIT 352A & US-93,Wells,NV,835,3.41566666,41.129798,-114.532752,city,
69865,69865,7-ELEVEN #40036,SR-33 & SR-632,Lanexa,VA,180,3.659,37.419391,-76.902684,city,
69870,69870,CIRCLE K #4705720,"I-280, EXIT 7 & SR-2",Oregon,OH,550,3.609,41.64366,-83.48688,city,
69871,69871,CIRCLE K #2741595,SR-71 & FM-1209,Bastrop,TX,595,2.954,30.13883,-97.292101,city,
69873,69873,KWIK TRIP #142,"US-10, EXIT 186 & SR-13",Marshfield,WI,395,3.479,44.66885,-90.1718,city,
69874,69874,LOVES TRAVEL STOP #687,"I-72, EXIT 64 & US-67",Jacksonville,IL,540,3.539,39.73394,-90.22901,city,
69875,69875,LOVES TRAVEL STOP #680,US-81,Norfolk,NE,470,3.31566666,42.02834,-97.417,city,
69876,69876,LOVES TRAVEL STOP #684,"I-35, EXIT 133 & SR-175",Ellsworth,IA,433,3.689,42.30086,-93.548979,city,
69877,69877,LOVES TRAVEL STOP #669,US-61 & SR-19,New London,MO,345,3.23566666,39.591672,-91.39599,city,
69878,69878,SPEEDWAY #7412,SR-83 & SR-19,Bensenville,IL,293,3.379,41.95503,-87.94007,city,
69879,69879,SPEEDWAY #3700,I-70 EXIT 77,Indianapolis,IN,375,3.319,39.76838,-86.15804,city,
69880,69880,Speedway #6809,"I-290, EXIT 13A",Franklin Park,IL,293,3.354,41.93531,-87.86562,city,
69881,69881,KWIK TRIP #458,SR-55,Buffalo,MN,451,3.549,45.17191,-93.87469,city,
69882,69882,SPEEDWAY #7103,US-43,Lawrenceburg,TN,460,3.574,35.250668,-87.352582,city,
69884,69884,AKAL TRAVEL CENTER,"I-40, EXIT 267 & SR-379",Santa Rosa,NM,721,2.879,34.933276,-104.682155,city,
69885,69885,BELL STORES #146,SR-43 & SR-183,Malvern,OH,249,3.579,40.684532,-81.18378,city,
69886,69886,LOVES TRAVEL STOP #676,SR-50,Syracuse,NE,413,3.444,40.661386,-96.182407,city,
69887,69887,CIRCLE K #2701869,SR-21 & SR-307,Savannah,GA,195,3.11566666,32.08354,-81.09983,city,
69888,69888,OASIS STOP N GO #17,US-30,Twin Falls,ID,787,3.699,42.56297,-114.46087,city,
69892,69892,MAVERIK COUNTRY STORE #547,US-26,Casper,WY,790,3.18566666,42.86663,-106.31308,city,
69893,69893,DOMINO EXPRESS #24,US-412/US-270/US-183/SR-3 & SR-15,Woodward,OK,337,2.999,36.426784,-99.402016,city,
69894,69894,Circle K #2746446,US-2,Williston,ND,452,4.04233333,48.14697,-103.61797,city,
69895,69895,Shell,"I-80, EXIT 122",Minooka,IL,290,3.199,41.461516,-88.278596,city,
69900,69900,LOVES TRAVEL STOP #605,"I-70, EXIT 59 & SR-41",Springfield,OH,315,3.479,39.92423,-83.80882,city,
69901,69901,KWIK TRIP #638,SR-42,Two Rivers,WI,582,3.39066666,44.166008,-87.585504,city,
69902,69902,MAVERIK COUNTRY STORE #441,"I-182/US-12, EXIT 9",Pasco,WA,925,4.279,46.23958,-119.10057,city,
69903,69903,LOVES TRAVEL STOP #642,US-60 & US-385,Hereford,TX,585,3.41566666,34.81521,-102.39932,city,
69904,69904,LOVES TRAVEL STOP #695,US-54/400,Cunningham,KS,570,3.65733333,37.666149,-98.39297,city,
69905,69905,KWIK TRIP #105,"I-41, EXIT 157",De Pere,WI,582,3.35233333,44.44888,-88.06038,city,
69906,69906,LOVES TRAVEL STOP #692,US-169 & SR-39,Chanute,KS,570,3.27566666,37.674928,-95.456962,city,
69907,69907,STRIPES #41023,SR-358 & FM-665,Corpus Christi,TX,625,3.07066666,27.80058,-97.39638,city,
69908,69908,LOVES TRAVEL STOP #685,"I-74, EXIT 51",Knoxville,IL,270,3.889,40.910672,-90.287116,city,
69912,69912,AMPM,"I-10, EXIT 140",Phoenix,AZ,930,3.28233333,33.44838,-112.07404,city,
69913,69913,ROSS FUEL CENTER,US-60/US-67,Poplar Bluff,MO,275,3.49066666,36.757,-90.39289,city,
69914,69914,PETRO COLUMBIA,"I-77, EXIT 5 & SR-48",Columbia,SC,46,3.41233333,34.00071,-81.03481,city,
69915,69915,PETES #16,"I-49/US-71, EXIT 120 & CR-B",Rich Hill,MO,277,3.149,38.09438,-94.363454,city,
69921,69921,LOVES TRAVEL STOP #688,"I-70, EXIT 119 & SR-130",Greenup,IL,510,3.389,39.239454,-88.144502,city,
69922,69922,LOVES TRAVEL STOP #686,"I-84/I-15, EXIT 363",Brigham City,UT,835,3.75566666,41.51021,-112.0155,city,
69923,69923,Circle K #2741821,FM 471 & SR 211,San Antonio,TX,740,3.03233333,29.42412,-98.49363,city,
69926,69926,TONKAWA TRADING POST,"I-35, EXIT 214 & US-60",Tonkawa,OK,500,2.999,36.68062,-97.30634,city,
69927,69927,LOVES TRAVEL STOP #682,"I-81, EXIT 10A",Hagerstown,MD,22,3.949,39.64176,-77.71999,city,
69928,69928,KUM & GO #1837,SR-51,Broken Arrow,OK,560,3.05233333,36.0526,-95.79082,city,
69929,69929,PETES #14,US-69/SR 7,Fort Scott,KS,307,3.199,37.834159,-94.704221,city,
69930,69930,CONCORDE TRAVEL CENTER,"I-65, EXIT 219 & CR-42",Jemison,AL,720,3.299,32.980539,-86.718052,city,
69931,69931,SHELL,"I-565, EXIT 7 & CR-127",Madison,AL,615,3.349,34.69926,-86.74833,city,
69932,69932,CIRCLE K #2741847,SR-16,San Antonio,TX,740,3.07233333,29.42412,-98.49363,city,
69933,69933,Flyers #3202,"I-17, EXIT 201",Phoenix,AZ,930,3.369,33.44838,-112.07404,city,
69934,69934,KWIK TRIP #135,SR-35 N,Superior,WI,334,3.499,46.72077,-92.10408,city,
69935,69935,KWIK TRIP #586,"I-41, EXIT 45",Butler,WI,444,3.474,43.105405,-88.071043,city,
69936,69936,LOVES TRAVEL STOP #683,US-27,Moore Haven,FL,176,3.789,26.832749,-81.218776,city,
69937,69937,MAVERIK COUNTRY STORE #385,"I-15, EXIT 119",Idaho Falls,ID,825,3.42566666,43.46658,-112.03414,city,
69938,69938,MAVERIK COUNTRY STORE #388,US-60 & SR-77,Show Low,AZ,930,3.229,34.060117,-110.054633,city,
69939,69939,MAVERIK COUNTRY STORE #377,"I-15, EXIT 244 & US-6",Santaquin,UT,835,3.40233333,39.980356,-111.793819,city,
69940,69940,SAPP BROS TRAVEL CENTER,"I-49, EXIT 157",Harrisonville,MO,400,3.40233333,38.64193,-94.32852,city,
69941,69941,QUIKTRIP #949,"I-20 E, EXIT 406",Weatherford,TX,630,2.91733333,32.7593,-97.79725,city,
69943,69943,ASAP GENERAL STORE #313,US-81,Duncan,OK,483,3.13233333,34.5023,-97.95781,city,
69944,69944,TRUCK WORLD,"I-76, EXIT 57",North Jackson,OH,573,3.259,41.088044,-80.86225,city,
69945,69945,BP,"I-465, EXIT 49",Indianapolis,IN,375,3.799,39.76838,-86.15804,city,
69946,69946,KUM & GO #0119,"I-35, EXIT 214 & SR-105",Northwood,IA,433,3.11566666,43.450604,-93.241943,city,
69947,69947,THORNTONS #607,I-24 EXIT 62 & SR-171,Antioch,TN,460,2.899,36.06,-86.672222,city,
69948,69948,CIRCLE T,US-190/SR-21,Bryan,TX,670,3.459,30.67436,-96.36996,city,
69949,69949,THE CROSSING TRAVEL MARK,US-83 & SR-153,Winters,TX,575,3.04066666,31.962028,-99.955114,city,
69952,69952,HUTCH'S #120,"I-40, EXIT 25",Sayre,OK,483,2.984,35.304722,-99.642928,city,
